folio,ordenpersona,diaentrevista,mesentrevista,horaentrevista,minutoentrevista,sexo,parentesco,mesnacimiento,agnonacimiento,tenencialicenciaconducir,tenenciatne,tenenciatarjetaadultomayor,escolaridadcurso,escolaridadnivel,escolaridadtitulo,actividadtrabaja,actividadestudia,actividadjubilado,actividadduenacasa,actividadbuscatrabajo1vez,actividadcesante,actividadotro,actividadotro_e,ocupacionprincipal,actividadeconomica,jornadatrabajo,dondeestudia,lugartrabajocomuna,lugarestudiocomuna,realizoviaje,lugardiaregistroviaje,motivonoviaje,motivonoviaje_e,lugarcomienzodia,sector_lugariniciodia,horasalidahora,horasalidaminuto,numeroviajes,viajescaminata,numeroetapas,freqcaminata,freqprivado,freqbus,freqcolectivo,freqbicicleta,freqavion,comprascomuna,saludcomuna,saludcomunaesp,usotic,usotranspub,percepcioningresos,montoingresopersonal,tramoingresopersonal,montogastotransporte,conocimientocampana,campanadiario,campanaradio,campanatelevision,campanaafiche,campanapasacalle,campanapersonas,edad,tramoedad,ingresopersonal,factorexpansionp
10022,4,20,6,18,30,Hombre,Hija o Hijo,9,1990,Licencia no profesional B,No,No aplica,3,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Servicio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,12.0,0.0,2,2,2,Diario,Semanal,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $821.001 y 1.035.000,50000,No,No,No,No,No,No,No,31,De 30 a 64 años,624500.0,"49,285"
10031,1,19,5,20,30,Hombre,Jefe(a) de hogar,8,1987,"Licencia no profesional D, E",No,No aplica,3,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Patron o empleador'],Servicio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,0.0,2,0,2,Semanal,Diario,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,Si,"Si, tiene ingresos",Desconocido,Entre $1.275.001 y $1.726.000,100000,No,No,No,No,No,No,No,34,De 30 a 64 años,1088500.0,"30,917"
10031,2,19,5,13,30,Mujeres,Conyuge o Pareja,6,1985,Licencia no profesional B,No,No aplica,4,Universitarios incompletos,No,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,18,0,18,Nunca,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $1.275.001 y $1.726.000,60000,No,No,No,No,No,No,No,36,De 30 a 64 años,1088500.0,"30,003"
10031,3,19,5,13,40,Mujeres,Hija o Hijo,7,2009,No,No,No aplica,5,Primarios (Basica o Preparatoria),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,4,0,4,Diario,Diario,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,12,De 5 a 13 años,0.0,"21,514"
10031,4,19,5,13,15,Hombre,Hija o Hijo,1,2015,No,No,No aplica,1,Primarios (Basica o Preparatoria),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,40.0,4,0,4,Diario,Diario,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,7,De 5 a 13 años,0.0,"27,547"
10031,5,19,5,13,0,Mujeres,Hija o Hijo,11,2017,No,No,No aplica,0,Pre-basico,Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,Prekinder o kinder,Desconocido,Puerto Natales,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,6,0,6,Diario,Diario,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,4,Hasta 4 años,0.0,"14,912"
10032,1,20,5,19,15,Hombre,Jefe(a) de hogar,10,1974,Licencia esoecial,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero de empresa privada'],Servicio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,30.0,4,0,4,Diario,Diario,Nunca,Nunca,Semanal,Anual,Si,No,Punta Arenas,No,No,"Si, tiene ingresos",Desconocido,Entre $1.035.001 y $1.275.000,200000,No,No,No,No,No,No,No,47,De 30 a 64 años,757500.0,"6,397"
10032,2,20,5,19,35,Mujeres,Conyuge o Pareja,11,1975,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,46,De 30 a 64 años,0.0,"6,222"
10041,1,8,8,14,0,Hombre,Jefe(a) de hogar,4,1967,Licencia no profesional B,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,No,En otra direccion,Por trabajo,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Diario,Nunca,Nunca,Semanal,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $821.001 y 1.035.000,60000,No,No,No,No,No,No,No,55,De 30 a 64 años,624500.0,"23,217"
10041,2,8,8,14,10,Mujeres,Conyuge o Pareja,11,1970,No,No,No aplica,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Semanal,Nunca,Semanal,Nunca,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,5000,No,No,No,No,No,No,No,51,De 30 a 64 años,0.0,"22,582"
10041,3,8,8,14,20,Mujeres,Hija o Hijo,7,1993,No,No,No aplica,2,Profesionales,Si,No,No,No,No,No,Si,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Semanal,Nunca,Semanal,Nunca,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,5000,No,No,No,No,No,No,No,29,De 19 a 29 años,0.0,"30,003"
10041,4,8,8,14,30,Hombre,Otro familiar,7,1986,Licencia no profesional B,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,0.0,2,0,2,Diario,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $821.001 y 1.035.000,50000,No,No,No,No,No,No,No,36,De 30 a 64 años,624500.0,"30,917"
10041,5,8,8,14,40,Mujeres,Otro familiar,10,2019,No,No,No aplica,0,"Ninguno, nunca asistio",Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,No,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,2,Hasta 4 años,0.0,"14,912"
10042,1,18,5,14,45,Hombre,Jefe(a) de hogar,4,1977,Licencia no profesional B,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,30.0,2,0,2,Nunca,Diario,Anual,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,Si,"Si, tiene ingresos",Desconocido,Entre $1.275.001 y $1.726.000,60000,No,No,No,No,No,No,No,45,De 30 a 64 años,1088500.0,"13,125"
10042,2,18,5,15,20,Mujeres,Conyuge o Pareja,3,1984,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,4,4,4,Nunca,Diario,Anual,Diario,Nunca,Nunca,Si,Si,Desconocido,Si,Si,"Si, tiene ingresos",Desconocido,Entre $1.275.001 y $1.726.000,5000,No,No,No,No,No,No,No,38,De 30 a 64 años,1088500.0,"16,961"
10042,3,18,5,15,20,Hombre,Hija o Hijo,7,2008,No,No,No aplica,5,Primarios (Basica o Preparatoria),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Punta Arenas,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,2,2,2,Diario,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,2000,No,No,No,No,No,No,No,13,De 5 a 13 años,0.0,"15,572"
10051,1,19,5,18,15,Mujeres,"Otro servicio, cuidador, enfermera(o)",9,1968,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Servicio domestico puertas adentro'],"Habitacional (Servicio domestico, enfermera a domicilio)",Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Mensual,Mensual,Mensual,Nunca,Nunca,Si,Si,Desconocido,Si,Si,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,5000,Si,No,Si,No,No,No,No,53,De 30 a 64 años,362500.0,"6,222"
10051,2,19,5,18,25,Mujeres,Jefe(a) de hogar,10,1940,No,No,No,8,"Ninguno, nunca asistio",Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por otro motivo,Movilidad reducida,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Mensual,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,No,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,5000,No,No,No,No,No,No,No,81,Mas de 65 años,245000.0,"5,822"
10052,1,20,5,20,0,Hombre,Jefe(a) de hogar,5,1972,No,No,No aplica,8,Primarios (Basica o Preparatoria),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Punta arenas,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,10.0,0.0,2,2,2,Semanal,Nunca,Nunca,Mensual,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,2000,No,No,No,No,No,No,No,50,De 30 a 64 años,362500.0,"7,737"
10061,1,20,5,20,30,Hombre,Jefe(a) de hogar,1,1961,"Licencia profesional A1, A2, A3, A4, A5",No,No,2,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Salud,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,4,0,4,Diario,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,40000,No,No,No,No,No,No,No,61,De 30 a 64 años,362500.0,"37,552"
10061,2,20,5,20,40,Mujeres,Conyuge o Pareja,5,1967,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,4,0,4,Diario,Diario,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,0,No,No,No,No,No,No,No,55,De 30 a 64 años,0.0,"12,766"
10061,3,20,5,20,0,Hombre,Hija o Hijo,10,1993,Licencia no profesional B,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Salud,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,8.0,0.0,2,0,2,Diario,Diario,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,40000,No,No,No,No,No,No,No,28,De 19 a 29 años,362500.0,"17,478"
10062,1,5,8,16,30,Hombre,Jefe(a) de hogar,4,1953,No,No,No,5,Primarios (Basica o Preparatoria),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada parcial (menos de 40hrs semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,18.0,45.0,2,0,2,Diario,Mensual,Nunca,Mensual,Diario,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,5000,No,No,No,No,No,No,No,69,Mas de 65 años,Desconocido,"8,437"
10071,1,4,8,17,45,Mujeres,Jefe(a) de hogar,12,1970,No,No,No aplica,3,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Educacion,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,4,4,4,Diario,Mensual,Mensual,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $821.001 y 1.035.000,0,No,No,No,No,No,No,No,51,De 30 a 64 años,624500.0,"10,312"
10071,2,4,8,17,55,Hombre,Conyuge o Pareja,11,1968,No,No,No aplica,3,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Sector Publico,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,50.0,4,0,4,Diario,Nunca,Nunca,Nunca,Diario,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,0,No,No,No,No,No,No,No,53,De 30 a 64 años,Desconocido,"11,325"
10072,1,5,8,19,0,Mujeres,Jefe(a) de hogar,5,1944,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Mensual,Mensual,Semanal,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,10000,Si,No,No,No,Si,No,No,78,Mas de 65 años,245000.0,"5,764"
10072,2,5,8,19,10,Hombre,Conyuge o Pareja,12,1939,No,No,No,6,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Mensual,Mensual,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $395.001 y $560.000,0,No,No,No,No,No,No,No,82,Mas de 65 años,362500.0,"9,073"
10081,1,18,5,13,28,Mujeres,Conyuge o Pareja,2,1950,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Industria,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,30.0,2,0,2,Diario,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $245.001 y $395.000,2000,No,No,No,No,No,No,No,72,Mas de 65 años,272500.0,"5,822"
10081,2,18,5,13,15,Hombre,Jefe(a) de hogar,9,1948,"Licencia profesional A1, A2, A3, A4, A5",No,No,1,Secundarios (Media o Humanidades),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,10.0,0.0,2,0,2,Semanal,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $245.001 y $395.000,50000,No,No,No,No,No,No,No,73,Mas de 65 años,272500.0,"6,976"
10082,1,19,5,20,45,Mujeres,Jefe(a) de hogar,8,1949,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,14.0,30.0,2,2,2,Diario,Semanal,Nunca,Nunca,Nunca,Nunca,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,2000,No,No,No,No,No,No,No,72,Mas de 65 años,245000.0,"7,042"
10091,1,18,5,19,0,Hombre,Jefe(a) de hogar,10,1942,No,No,No,6,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,0.0,2,2,2,Diario,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,No,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,20000,No,No,No,No,No,No,No,79,Mas de 65 años,245000.0,"6,976"
10091,2,18,5,19,15,Mujeres,Conyuge o Pareja,3,1949,Licencia no profesional B,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,11.0,30.0,2,0,2,Diario,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,40000,No,No,No,No,No,No,No,73,Mas de 65 años,245000.0,"5,822"
10092,1,19,5,17,42,Mujeres,Conyuge o Pareja,11,1969,No,No,No aplica,4,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Semanal,Nunca,Nunca,Nunca,Anual,Si,No,Punta Arenas,Si,No,No tiene ingresos,Desconocido,No responde,0,Si,No,Si,No,No,No,No,52,De 30 a 64 años,0.0,"12,766"
